game_id,player_id,played,batting_average,at_bat,hits,runs,RBI,stolen_base,field_error,fielding_percentage,innings_pitched,ERA,K
1,58,1,0.500,2,1,1,0,2,0,1.000,0,0,0
1,61,1,0.500,2,1,1,0,1,0,1.000,0,0,0
1,62,1,0.500,4,2,2,2,1,0,1.000,0,0,0
1,63,1,0.667,3,2,1,1,0,0,1.000,0,0,0
1,65,1,0.500,2,1,1,2,1,0,1.000,0,0,0
1,66,1,0.000,1,0,0,0,0,0,1.000,0,0,0
1,67,1,0.000,1,0,0,0,0,0,1.000,0,0,0
1,68,1,0.000,2,0,0,1,0,0,1.000,0,0,0
1,69,1,0.750,4,2,2,0,2,0,1.000,0,0,0
1,70,1,0.330,3,1,1,0,0,0,1.000,0,0,0
1,73,1,0.000,3,0,0,1,0,0,1.000,0,0,0
1,60,1,0,0,0,0,0,0,0,0,5,2.80,9
1,77,1,0,0,0,0,0,0,0,0,2,0,1
1,1,1,0.750,4,3,1,0,1,1,0.833,0,0,0
1,2,1,0.000,3,0,0,0,0,1,0.75,0,0,0
1,4,1,0.000,3,0,0,0,0,0,1,0,0,0
1,6,1,0.500,4,2,1,0,0,1,0.667,6,7,0
1,8,1,0.000,3,0,0,0,0,0,1,0,0,0
1,9,1,0.333,3,1,0,0,0,0,1,0,0,0
1,10,1,0.000,2,0,0,0,0,0,0,0,0,0
1,12,1,0.000,3,0,0,0,0,1,0.667,0,0,0
1,13,1,0.333,3,1,0,2,0,0,1,0,0,0
1,14,1,0.000,1,0,0,0,0,0,0,0,0,0
2,58,1,0.000,3,0,1,0,0,1,0.750,0,0,0
2,61,1,0.000,2,0,1,0,1,1,0.000,0,0,0
2,62,1,0.000,2,0,2,1,0,0,1.000,0,0,0
2,63,1,0.000,2,0,2,0,0,0,0.000,0,0,0
2,65,1,0.000,5,0,1,0,0,0,1.000,0,0,0
2,66,1,0.000,0,0,1,0,0,0,0.000,0,0,0
2,67,1,0.000,0,0,1,0,0,0,0.000,0,0,0
2,68,1,1.000,3,3,1,3,0,0,1.000,0,0,0
2,69,1,0.500,4,2,1,2,1,0,0.000,0,0,0
2,70,1,0.667,3,2,1,2,0,0,0.000,0,0,0
2,72,1,1.000,2,2,1,2,0,0,0.000,0,0,0
2,73,1,0.000,3,0,1,0,0,1,0.667,0,0,0
2,60,1,0.000,0,0,0,0,0,1,0.667,6,0,11
2,16,1,0.000,2,0,0,0,0,0,0.000,0,0,0
2,17,1,0.330,3,1,0,0,0,0,0.000,0,0,0
2,18,1,0.333,3,1,0,1,0,0,0.000,0,0,0
2,20,1,0.000,1,0,0,0,0,0,0.000,0,0,0
2,22,1,0.330,3,1,0,0,0,0,0.000,0,0,0
2,23,1,0.333,3,1,1,0,0,0,0.000,0,0,0
2,24,1,0.500,2,1,1,0,0,0,0.000,0,0,0
2,25,1,0.333,3,1,1,1,0,0,0.000,0,0,0
2,27,1,0.000,2,0,0,0,0,0,0.000,0,0,0
2,35,1,0.333,3,1,1,1,0,0,0.000,0,0,0
3,58,1,0.200,5,1,1,0,0,0,1.000,0,0,0
3,59,1,0.000,1,0,0,0,0,0,0.000,0,0,0
3,61,1,0.250,4,1,1,1,0,0,1.000,0,0,0
3,62,1,0.500,4,2,1,3,1,0,1.000,0,0,0
3,63,1,0.667,3,2,1,0,0,0,0.000,0,0,0
3,64,1,0.000,0,0,1,0,0,0,0.000,0,0,0
3,65,1,0.500,4,2,2,2,1,0,1.000,0,0,0
3,66,1,0.000,0,0,1,0,0,0,1.000,0,0,0
3,67,1,1.000,2,1,2,1,0,0,0.000,0,0,0
3,68,1,0.250,4,0,0,0,0,0,1.000,0,0,0
3,69,1,0.400,5,2,2,2,1,0,1.000,0,0,0
3,70,1,0.600,5,1,2,1,0,0,1.000,0,0,0
3,72,1,1.000,1,1,0,1,0,0,0.000,0,0,0
3,73,1,1.000,2,2,1,1,0,0,1.000,0,0,0
3,75,1,1.000,2,2,0,3,0,0,0.000,0,0,0
3,76,1,0.000,1,0,0,0,0,0,0.000,0,0,0
3,60,1,0.000,0,0,0,0,0,1,0.000,6,2.33,5
3,77,1,0.000,0,0,0,0,0,0,0.000,1,28.00,1
3,39,1,0.000,0,0,1,0,0,0,0.000,0,0,0
3,40,1,1.000,1,1,1,3,0,0,0.000,0,0,0
3,42,1,1.000,1,1,0,0,0,0,0.000,0,0,0
3,45,1,0.000,3,0,0,0,0,0,1,0,0,0
3,46,1,0.000,3,0,1,0,0,0,1,0,0,0
3,47,1,0.250,4,1,1,1,0,1,1,0,0,0
3,48,1,0.333,3,1,0,0,0,0,1,0,0,0
3,49,1,0.250,4,1,1,0,0,0,1,0,0,0
3,50,1,0.000,3,0,0,0,0,0,1,0,0,0
3,51,1,0.000,1,0,0,0,0,0,0,0,0,0
3,53,1,0.000,1,0,0,0,0,0,0,0,0,0
3,54,1,0.330,3,1,0,0,0,0,0,1.1,26.25,1
3,55,1,0.000,1,0,0,0,0,0,0,0,0,0
3,56,1,0.667,3,2,0,2,0,2,0.6,0,0,0
3,57,1,0.000,2,0,0,0,0,0,1,0,0,0
3,41,1,0.000,0,0,0,0,0,0,0,5.2,7.41,3